player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Shoon,6823.254328330073,['Flex Offenders'],29,False,6283.333333333333
Sultan of Canada,6816.987663935697,"['Golf Monday?', 'Rats and Bunnies', 'Dota Under the Influence', 'Yoinky Sploinky', ""Daddy's ENGORGED Dictatorship""]",49,True,7400.0
Younghoe Koo,6793.300158558712,"['GRIN Scythe', 'GRIN Fury']",34,True,7200.0
Merrill Howard Kalin,6792.721525841721,['Merrill Howard Kalin Fan Club'],39,True,7100.0
Ghost,6788.333092634653,"['Plinks of Golf?', 'Grillin and Chillin']",20,False,6610.0
wrennsday,6787.531049911237,"['Golf Monday?', 'Comrades of Golf?', 'Golf Wrensday?', 'Waist of Golf?', '10toes']",62,True,6500.0
Dr. cjj,6784.056759946162,"['Calamity Crew', 'I am > I was', 'Nameless', 'Savage Spirits']",37,False,6372.222222222223
Orion,6784.044460469063,"['Average Krill Eaters', 'Remove Radiance From The Game', 'Rats and Bunnies', 'Team Krill Eater']",81,True,7100.0
Thunder_MuFiN,6780.512679320787,"['Baja Blasters', 'beignet boys', 'Grillin and Chillin']",25,True,6400.0
Manoy,6769.210804621378,"['Rats and Bunnies', 'texts go green', 'Brain Damage', 'LF Danny Playoff Replacement', 'Pizzadog Academy', 'Team Ligma', ""Daddy's ENGORGED Dictatorship""]",57,True,7200.0
Cryptic Wisdom,6767.504986021151,['DinoMight'],20,False,6337.5
Animal I Have Become,6767.416285425583,"['Dually Truck Hentai Warriors', 'Dually Truck Dumpster-Fire', 'GRIN Scythe', 'Dually Truck Diesel Drinkers']",47,True,7300.0
Asmoranomardicadaistinaculdacar,6762.532326815666,"['Rodents and Hares Pest Control', ""'Nanner Grippers"", 'Rats and Bunnies', ""Blitz's Feet"", 'dXo-Rejects', 'Dark Horse Vitality', 'GRIN Scythe']",89,True,6100.0
RangerX01,6728.879621890274,['Merrill Howard Kalin Fan Club'],41,True,6500.0
Dr. Spike the Dota Dr.,6718.076998547239,"['Honey Beesports', 'Pizzadog.JV', 'Nameless', 'Dumpster Fire', 'Idiots', 'SpookyScarySkeletons']",63,True,6500.0
Clarkles,6697.1703427269795,"['Average Krill Eaters', 'GRIN Rat Society', 'Team Krill Eater']",46,True,7200.0
chandler9,6678.009771090154,['Merrill Howard Kalin Fan Club'],41,True,6100.0
GodamN,6674.043128806994,['SMD9813'],25,False,5914.285714285715
Akro,6658.287033968257,['GRIN Fury'],64,True,7400.0
malibu,6646.0233844731965,"['animal enclosure', 'Honey Beesports', 'Team Samsara', '2FrogsSoftware', 'GRIN Fury']",53,True,8000.0
kerokerocola,6632.7064633947875,['Merrill Howard Kalin Fan Club'],41,False,5842.857142857143
JBay7,6625.593064196269,"['Rats and Bunnies', 'Reverse Smurfs', 'j', 'e', 'Have Mercii Daddy', 'LF Danny Playoff Replacement', 'Teens Love Huge Clocks']",79,True,7200.0
lowskill,6606.151702765264,"[""Daddy's ENGORGED Dictatorship""]",62,True,6300.0
